review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000002,ORD-20251005-994186,CUST-10093,REST-DXB-002,Average experience. Gulab Jamun (2 pcs) were fine but Gulab Jamun (2 pcs) was a bit bland. Room for improvement.,3,2025-10-06T15:03:45.503154
REV-000001,ORD-20251002-850648,CUST-10053,REST-DXB-001,Great food overall. Gulab Jamun (2 pcs)  Naan  Malai Kofta  and Mango Lassi were tasty  especially the Gulab Jamun (2 pcs). Would order again!,4,2025-10-09T11:40:37.503154
REV-000003,ORD-20251013-827259,CUST-10416,REST-AUH-001,Exceptional quality! Ordered Vegetable Biryani  Tandoori Roti  and Chicken Biryani and everything was delicious. The Vegetable Biryani melted in my mouth. Perfect!,5,2025-10-15T13:00:49.503154
REV-000005,ORD-20251014-873392,CUST-10173,REST-DXB-001,Hands down the best Lamb Rogan Josh I've ever had! Sweet Lassi  Samosa (2 pcs)  and Lamb Rogan Josh were all prepared beautifully. Fresh and flavorful!,5,2025-10-16T22:34:04.503154
REV-000006,ORD-20251016-118991,CUST-10459,REST-AUH-001,Best Indian food in UAE! Masala Chai were incredible. Masala Chai had the perfect balance of spices. Five stars!,5,2025-10-17T12:54:12.503154
REV-000004,ORD-20251014-503707,CUST-10094,REST-AUH-001,Poor experience. Lamb Rogan Josh  Tandoori Roti  and Garlic Naan were disappointing. Lamb Rogan Josh was burnt on the edges. Very unhappy.,2,2025-10-20T18:54:27.503154
REV-000007,ORD-20251017-599849,CUST-10438,REST-AUH-001,Not good. Fish Curry  Samosa (2 pcs)  Fresh Lime Soda  Vegetable Biryani  and Gajar Halwa arrived late and cold. Gajar Halwa had barely any flavor. Poor quality.,2,2025-10-22T21:36:58.503154
REV-000012,ORD-20251024-567868,CUST-10378,REST-AUH-001,Below expectations. Fresh Lime Soda  Malai Kofta  and Fish Curry were underwhelming. Fish Curry was overcooked and dry.,2,2025-10-25T15:08:05.503154
REV-000009,ORD-20251021-533578,CUST-10120,REST-AUH-002,Perfect in every way! Fish Curry  Naan  Chole Bhature  Paneer Tikka  and Jeera Rice were all excellent. Chole Bhature stood out with its rich  authentic taste.,5,2025-10-25T18:27:52.503154
REV-000008,ORD-20251019-879458,CUST-10362,REST-AUH-002,Mediocre. Tandoori Roti  Naan  Butter Chicken  and Gulab Jamun (2 pcs) were fine but forgettable. Gulab Jamun (2 pcs) didn't stand out.,3,2025-10-26T19:48:36.503154
REV-000011,ORD-20251021-476683,CUST-10186,REST-DXB-002,Great food overall. Samosa (2 pcs) were tasty  especially the Samosa (2 pcs). Would order again!,4,2025-10-27T21:30:14.503154
REV-000010,ORD-20251021-230474,CUST-10090,REST-AUH-001,Perfect in every way! Vegetable Biryani and Paneer Tikka were all excellent. Paneer Tikka stood out with its rich  authentic taste.,5,2025-10-28T18:56:46.503154
REV-000013,ORD-20251030-887082,CUST-10208,REST-AUH-002,Outstanding experience! The Paneer Tikka  Chicken Biryani  and Malai Kofta exceeded all expectations. Chicken Biryani was the star of the meal. Will definitely order again!,5,2025-11-03T22:05:40.503154
REV-000014,ORD-20251102-417272,CUST-10064,REST-DXB-001,Exceptional quality! Ordered Butter Naan  Mango Lassi  Samosa (2 pcs)  Aloo Tikki Chaat  and Dal Makhani and everything was delicious. The Mango Lassi melted in my mouth. Perfect!,5,2025-11-07T10:07:51.503154
